Epoch 124 | Loss 6.5570
Epoch 125 | Loss 6.5507
Epoch 126 | Loss 6.5522
Epoch 127 | Loss 6.5688
Epoch 128 | Loss 6.5868
Epoch 129 | Loss 6.5745
Epoch 130 | Loss 6.5976
Epoch 131 | Loss 6.5960
Epoch 132 | Loss 6.6017
Epoch 133 | Loss 6.5964
Epoch 134 | Loss 6.6167
Epoch 135 | Loss 6.6172
Epoch 136 | Loss 6.6295
Epoch 137 | Loss 6.6309
Epoch 138 | Loss 6.6446
Epoch 139 | Loss 6.6407
Epoch 140 | Loss 6.6440
Epoch 141 | Loss 6.6647
Epoch 142 | Loss 6.6612
Epoch 143 | Loss 6.6869
Epoch 144 | Loss 6.6890
Epoch 145 | Loss 6.6852
Epoch 146 | Loss 6.6955
Epoch 147 | Loss 6.6808
Epoch 148 | Loss 6.6902
Epoch 149 | Loss 6.7079
Epoch 150 | Loss 6.7204
Epoch 151 | Loss 6.7159
Epoch 152 | Loss 6.7200
Epoch 153 | Loss 6.7257
Epoch 154 | Loss 6.7276
Epoch 155 | Loss 6.7293
Epoch 156 | Loss 6.7375
Epoch 157 | Loss 6.7392
Epoch 158 | Loss 6.7459
Epoch 159 | Loss 6.7632
Epoch 160 | Loss 6.7641
Epoch 161 | Loss 6.7561
Epoch 162 | Loss 6.7680
Epoch 163 | Loss 6.7742
Epoch 164 | Loss 6.7737
Epoch 165 | Loss 6.7790
Epoch 166 | Loss 6.7792
Epoch 167 | Loss 6.7870
Epoch 168 | Loss 6.7914
Epoch 169 | Loss 6.7941
Epoch 170 | Loss 6.7956
Epoch 171 | Loss 6.7962
Epoch 172 | Loss 6.7932
Epoch 173 | Loss 6.7959
Epoch 174 | Loss 6.8028
Epoch 175 | Loss 6.8044
Epoch 176 | Loss 6.8076
Epoch 177 | Loss 6.8128
Epoch 178 | Loss 6.8133
Epoch 179 | Loss 6.8138
Epoch 180 | Loss 6.8213
Epoch 181 | Loss 6.8243
Epoch 182 | Loss 6.8304
Epoch 183 | Loss 6.8283
Epoch 184 | Loss 6.8332
Epoch 185 | Loss 6.8370
Epoch 186 | Loss 6.8348
Epoch 187 | Loss 6.8381
Epoch 188 | Loss 6.8388
Epoch 189 | Loss 6.8393
Epoch 190 | Loss 6.8390
Epoch 191 | Loss 6.8422
Epoch 192 | Loss 6.8439
Epoch 193 | Loss 6.8452
Epoch 194 | Loss 6.8511
Epoch 195 | Loss 6.8516
Epoch 196 | Loss 6.8550
Epoch 197 | Loss 6.8557
Epoch 198 | Loss 6.8544
Epoch 199 | Loss 6.8586
Epoch 200 | Loss 6.8606
Epoch 201 | Loss 6.8609
Epoch 202 | Loss 6.8606
Epoch 203 | Loss 6.8620
Epoch 204 | Loss 6.8647
Epoch 205 | Loss 6.8641
Epoch 206 | Loss 6.8657
Epoch 207 | Loss 6.8673
Epoch 208 | Loss 6.8668
Epoch 209 | Loss 6.8690
Epoch 210 | Loss 6.8713
Epoch 211 | Loss 6.8717
Epoch 212 | Loss 6.8741
Epoch 213 | Loss 6.8760
Epoch 214 | Loss 6.8752
Epoch 215 | Loss 6.8751
Epoch 216 | Loss 6.8779
Epoch 217 | Loss 6.8780
Epoch 218 | Loss 6.8806
Epoch 219 | Loss 6.8803
Epoch 220 | Loss 6.8817
Epoch 221 | Loss 6.8828
Epoch 222 | Loss 6.8855
Epoch 223 | Loss 6.8841
Epoch 224 | Loss 6.8853
Epoch 225 | Loss 6.8860
Epoch 226 | Loss 6.8869
Epoch 227 | Loss 6.8870
Epoch 228 | Loss 6.8873
Epoch 229 | Loss 6.8880
Epoch 230 | Loss 6.8877
Epoch 231 | Loss 6.8883
Epoch 232 | Loss 6.8887
Epoch 233 | Loss 6.8906
Epoch 234 | Loss 6.8905
Epoch 235 | Loss 6.8915
Epoch 236 | Loss 6.8926
Epoch 237 | Loss 6.8935
Epoch 238 | Loss 6.8932
Epoch 239 | Loss 6.8935
Epoch 240 | Loss 6.8935
Epoch 241 | Loss 6.8945
Epoch 242 | Loss 6.8951
Epoch 243 | Loss 6.8954
Epoch 244 | Loss 6.8955
Epoch 245 | Loss 6.8956
Epoch 246 | Loss 6.8958
Epoch 247 | Loss 6.8963
Epoch 248 | Loss 6.8971
Epoch 249 | Loss 6.8971
Epoch 250 | Loss 6.8978
Epoch 251 | Loss 6.8978
Epoch 252 | Loss 6.8984
Epoch 253 | Loss 6.8982
Epoch 254 | Loss 6.8987
Epoch 255 | Loss 6.8986
Epoch 256 | Loss 6.8996
Epoch 257 | Loss 6.8990
Epoch 258 | Loss 6.8996
Epoch 259 | Loss 6.9000
Epoch 260 | Loss 6.8996
Epoch 261 | Loss 6.9002
Epoch 262 | Loss 6.9004
Epoch 263 | Loss 6.9008
Epoch 264 | Loss 6.9006
Epoch 265 | Loss 6.9012
Epoch 266 | Loss 6.9015
Epoch 267 | Loss 6.9013
Epoch 268 | Loss 6.9017
Epoch 269 | Loss 6.9014
Epoch 270 | Loss 6.9018
Epoch 271 | Loss 6.9015
Epoch 272 | Loss 6.9020
Epoch 273 | Loss 6.9020
Epoch 274 | Loss 6.9029
Epoch 275 | Loss 6.9024
Epoch 276 | Loss 6.9024
Epoch 277 | Loss 6.9023
Epoch 278 | Loss 6.9025
Epoch 279 | Loss 6.9029
Epoch 280 | Loss 6.9027
Epoch 281 | Loss 6.9029
Epoch 282 | Loss 6.9032
Epoch 283 | Loss 6.9028
Epoch 284 | Loss 6.9030
Epoch 285 | Loss 6.9034
Epoch 286 | Loss 6.9024
Epoch 287 | Loss 6.9032
Epoch 288 | Loss 6.9027
Epoch 289 | Loss 6.9028
Epoch 290 | Loss 6.9027
Epoch 291 | Loss 6.9028
Epoch 292 | Loss 6.9040
Epoch 293 | Loss 6.9027
Epoch 294 | Loss 6.9033
Epoch 295 | Loss 6.9029
Epoch 296 | Loss 6.9024
Epoch 297 | Loss 6.9027
Epoch 298 | Loss 6.9028
Epoch 299 | Loss 6.9032
Epoch 300 | Loss 6.9025
Epoch 301 | Loss 6.9026
Epoch 302 | Loss 6.9027
Epoch 303 | Loss 6.9012
Epoch 304 | Loss 6.9021
Epoch 305 | Loss 6.9025
Epoch 306 | Loss 6.9033
Epoch 307 | Loss 6.9022
Epoch 308 | Loss 6.9039
Epoch 309 | Loss 6.9026
Epoch 310 | Loss 6.9016
Epoch 311 | Loss 6.9024
Epoch 312 | Loss 6.9033
Epoch 313 | Loss 6.9033
Epoch 314 | Loss 6.9026
Epoch 315 | Loss 6.9019
Epoch 316 | Loss 6.9022
Epoch 317 | Loss 6.9017
Epoch 318 | Loss 6.9017
Epoch 319 | Loss 6.9011
Epoch 320 | Loss 6.9021
Epoch 321 | Loss 6.9003
Epoch 322 | Loss 6.9041
Epoch 323 | Loss 6.9003
Epoch 324 | Loss 6.9021
Epoch 325 | Loss 6.9001
Epoch 326 | Loss 6.9020
Epoch 327 | Loss 6.8995
Epoch 328 | Loss 6.9013
Epoch 329 | Loss 6.9005
Epoch 330 | Loss 6.8969
Epoch 331 | Loss 6.8980
Epoch 332 | Loss 6.9036
Epoch 333 | Loss 6.9002
Epoch 334 | Loss 6.9006
Epoch 335 | Loss 6.9006
Epoch 336 | Loss 6.8976
Epoch 337 | Loss 6.8981
Epoch 338 | Loss 6.8994
Epoch 339 | Loss 6.8979
Epoch 340 | Loss 6.8958
Epoch 341 | Loss 6.8959
Epoch 342 | Loss 6.8969
Epoch 343 | Loss 6.8975
Epoch 344 | Loss 6.8971
Epoch 345 | Loss 6.8955
Epoch 346 | Loss 6.8949
Epoch 347 | Loss 6.8962
Epoch 348 | Loss 6.8988
Epoch 349 | Loss 6.8953
Epoch 350 | Loss 6.8968
Epoch 351 | Loss 6.8967
Epoch 352 | Loss 6.8953
Epoch 353 | Loss 6.8935
Epoch 354 | Loss 6.8913
Epoch 355 | Loss 6.8902
Epoch 356 | Loss 6.8883
Epoch 357 | Loss 6.8894
Epoch 358 | Loss 6.8957
Epoch 359 | Loss 6.8873
Epoch 360 | Loss 6.8921
Epoch 361 | Loss 6.8862
Epoch 362 | Loss 6.8866
Epoch 363 | Loss 6.8891
Epoch 364 | Loss 6.8831
Epoch 365 | Loss 6.8857
Epoch 366 | Loss 6.8786
Epoch 367 | Loss 6.8838
