Loading dataset: roli
  0%|          | 0/184 [00:00<?, ?it/s] 11%|█▏        | 21/184 [00:00<00:00, 200.71it/s] 23%|██▎       | 42/184 [00:00<00:01, 103.96it/s] 34%|███▍      | 63/184 [00:00<00:00, 134.28it/s] 44%|████▍     | 81/184 [00:00<00:00, 130.95it/s] 55%|█████▌    | 102/184 [00:00<00:00, 151.91it/s] 65%|██████▍   | 119/184 [00:00<00:00, 134.47it/s] 76%|███████▌  | 139/184 [00:01<00:00, 132.08it/s] 88%|████████▊ | 161/184 [00:01<00:00, 151.52it/s] 99%|█████████▉| 183/184 [00:01<00:00, 167.17it/s]100%|██████████| 184/184 [00:01<00:00, 146.98it/s]
  0%|          | 0/50 [00:00<?, ?it/s] 24%|██▍       | 12/50 [00:00<00:00, 77.13it/s] 40%|████      | 20/50 [00:00<00:00, 72.72it/s] 82%|████████▏ | 41/50 [00:00<00:00, 123.44it/s]100%|██████████| 50/50 [00:00<00:00, 118.38it/s]
Start training.
Epoch 157 | Loss 6.8241
Epoch 158 | Loss 6.8158
Epoch 159 | Loss 6.8156
Epoch 160 | Loss 6.8075
Epoch 161 | Loss 6.8177
Epoch 162 | Loss 6.8113
Epoch 163 | Loss 6.7959
Epoch 164 | Loss 6.8052
Epoch 165 | Loss 6.8210
Epoch 166 | Loss 6.7918
Epoch 167 | Loss 6.7989
Epoch 168 | Loss 6.7965
Epoch 169 | Loss 6.7945
Epoch 170 | Loss 6.7746
Epoch 171 | Loss 6.7738
Epoch 172 | Loss 6.7795
Epoch 173 | Loss 6.7679
Epoch 174 | Loss 6.7645
Epoch 175 | Loss 6.7757
Epoch 176 | Loss 6.7784
Epoch 177 | Loss 6.7612
Epoch 178 | Loss 6.7672
Epoch 179 | Loss 6.7503
Epoch 180 | Loss 6.7674
Epoch 181 | Loss 6.7372
Epoch 182 | Loss 6.7208
Epoch 183 | Loss 6.7487
Epoch 184 | Loss 6.7445
Epoch 185 | Loss 6.7509
Epoch 186 | Loss 6.7351
Epoch 187 | Loss 6.7321
Epoch 188 | Loss 6.7202
Epoch 189 | Loss 6.7071
Epoch 190 | Loss 6.7221
Epoch 191 | Loss 6.7186
Epoch 192 | Loss 6.7288
Epoch 193 | Loss 6.7019
Epoch 194 | Loss 6.7336
Epoch 195 | Loss 6.7212
Epoch 196 | Loss 6.7216
Epoch 197 | Loss 6.7114
Epoch 198 | Loss 6.7082
Epoch 199 | Loss 6.7297
Epoch 200 | Loss 6.7100
Epoch 201 | Loss 6.7023
Epoch 202 | Loss 6.6983
Epoch 203 | Loss 6.7034
Epoch 204 | Loss 6.7075
Epoch 205 | Loss 6.6875
Epoch 206 | Loss 6.6589
Epoch 207 | Loss 6.6900
Epoch 208 | Loss 6.6754
Epoch 209 | Loss 6.6890
Epoch 210 | Loss 6.6785
Epoch 211 | Loss 6.6802
Epoch 212 | Loss 6.6744
Epoch 213 | Loss 6.6919
Epoch 214 | Loss 6.6749
Epoch 215 | Loss 6.6795
Epoch 216 | Loss 6.6711
Epoch 217 | Loss 6.6627
Epoch 218 | Loss 6.6740
Epoch 219 | Loss 6.6621
Epoch 220 | Loss 6.6652
Epoch 221 | Loss 6.6678
Epoch 222 | Loss 6.6665
Epoch 223 | Loss 6.6481
Epoch 224 | Loss 6.6540
Epoch 225 | Loss 6.6585
Epoch 226 | Loss 6.6683
Epoch 227 | Loss 6.6666
Epoch 228 | Loss 6.6714
Epoch 229 | Loss 6.6354
Epoch 230 | Loss 6.6455
Epoch 231 | Loss 6.6220
Epoch 232 | Loss 6.6332
Epoch 233 | Loss 6.6445
Epoch 234 | Loss 6.6454
Epoch 235 | Loss 6.6329
Epoch 236 | Loss 6.6346
Epoch 237 | Loss 6.6384
Epoch 238 | Loss 6.6543
Epoch 239 | Loss 6.6536
Epoch 240 | Loss 6.6333
Epoch 241 | Loss 6.6268
Epoch 242 | Loss 6.6187
Epoch 243 | Loss 6.6445
Epoch 244 | Loss 6.6279
Epoch 245 | Loss 6.6170
Epoch 246 | Loss 6.6316
Epoch 247 | Loss 6.6285
Epoch 248 | Loss 6.6166
Epoch 249 | Loss 6.6206
Epoch 250 | Loss 6.6225
Epoch 251 | Loss 6.6187
Epoch 252 | Loss 6.6087
Epoch 253 | Loss 6.6389
Epoch 254 | Loss 6.6080
Epoch 255 | Loss 6.6213
Epoch 256 | Loss 6.6150
Epoch 257 | Loss 6.6145
Epoch 258 | Loss 6.6261
Epoch 259 | Loss 6.6169
Epoch 260 | Loss 6.6237
Epoch 261 | Loss 6.6304
Epoch 262 | Loss 6.6169
Epoch 263 | Loss 6.5939
Epoch 264 | Loss 6.6205
Epoch 265 | Loss 6.6097
Epoch 266 | Loss 6.6204
Epoch 267 | Loss 6.6132
Epoch 268 | Loss 6.6103
Epoch 269 | Loss 6.6022
Epoch 270 | Loss 6.6048
Epoch 271 | Loss 6.6002
Epoch 272 | Loss 6.6170
Epoch 273 | Loss 6.6248
Epoch 274 | Loss 6.6116
Epoch 275 | Loss 6.6125
Epoch 276 | Loss 6.6006
Epoch 277 | Loss 6.6069
Epoch 278 | Loss 6.6082
Epoch 279 | Loss 6.6132
Epoch 280 | Loss 6.6089
Epoch 281 | Loss 6.6051
Epoch 282 | Loss 6.6125
Epoch 283 | Loss 6.5961
Epoch 284 | Loss 6.5941
Epoch 285 | Loss 6.6166
Epoch 286 | Loss 6.5827
Epoch 287 | Loss 6.5911
Epoch 288 | Loss 6.6303
Epoch 289 | Loss 6.6336
Epoch 290 | Loss 6.6196
Epoch 291 | Loss 6.6214
Epoch 292 | Loss 6.6108
Epoch 293 | Loss 6.6021
Epoch 294 | Loss 6.6516
Epoch 295 | Loss 6.6101
Epoch 296 | Loss 6.6148
Epoch 297 | Loss 6.5946
Epoch 298 | Loss 6.6170
Epoch 299 | Loss 6.6230
Epoch 300 | Loss 6.6232
Epoch 301 | Loss 6.6185
Epoch 302 | Loss 6.5997
Epoch 303 | Loss 6.6294
Epoch 304 | Loss 6.6245
Epoch 305 | Loss 6.6254
Epoch 306 | Loss 6.6248
Epoch 307 | Loss 6.6215
Epoch 308 | Loss 6.6288
Epoch 309 | Loss 6.6099
Epoch 310 | Loss 6.6284
Epoch 311 | Loss 6.6330
Epoch 312 | Loss 6.6128
Epoch 313 | Loss 6.6238
Epoch 314 | Loss 6.6239
Epoch 315 | Loss 6.6182
Epoch 316 | Loss 6.6350
Epoch 317 | Loss 6.6132
Epoch 318 | Loss 6.6224
Epoch 319 | Loss 6.6235
Epoch 320 | Loss 6.6064
Epoch 321 | Loss 6.6172
Epoch 322 | Loss 6.6141
Epoch 323 | Loss 6.6274
Epoch 324 | Loss 6.6432
Epoch 325 | Loss 6.6129
Epoch 326 | Loss 6.6291
Epoch 327 | Loss 6.6278
Epoch 328 | Loss 6.6187
Epoch 329 | Loss 6.6068
Epoch 330 | Loss 6.6270
Epoch 331 | Loss 6.6185
Epoch 332 | Loss 6.6282
Epoch 333 | Loss 6.6193
Epoch 334 | Loss 6.6403
Epoch 335 | Loss 6.6280
Epoch 336 | Loss 6.6509
Epoch 337 | Loss 6.6490
Epoch 338 | Loss 6.6446
Epoch 339 | Loss 6.6289
Epoch 340 | Loss 6.6385
Epoch 341 | Loss 6.6658
Epoch 342 | Loss 6.6432
Epoch 343 | Loss 6.6261
Epoch 344 | Loss 6.6740
Epoch 345 | Loss 6.6460
Epoch 346 | Loss 6.6476
Epoch 347 | Loss 6.6269
Epoch 348 | Loss 6.6614
Epoch 349 | Loss 6.6422
Epoch 350 | Loss 6.6467
Epoch 351 | Loss 6.6809
Epoch 352 | Loss 6.6533
Epoch 353 | Loss 6.6413
Epoch 354 | Loss 6.6617
Epoch 355 | Loss 6.6538
Epoch 356 | Loss 6.6758
Epoch 357 | Loss 6.6608
Epoch 358 | Loss 6.6624
Epoch 359 | Loss 6.6757
Epoch 360 | Loss 6.6727
Epoch 361 | Loss 6.6611
Epoch 362 | Loss 6.6521
Epoch 363 | Loss 6.6515
Epoch 364 | Loss 6.6480
